queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,
root.hjpt,hjpt,application_1527220447442_766883,get_count_to_kafka,2018/6/6 8:11,1970/1/1 8:00,8595,241025,502457097,161052,
root.hjpt,hjpt,application_1527220447442_755850,netmanager_lte_boa,2018/6/6 3:28,1970/1/1 8:00,6910,773478,1594155757,288161,
root.hjpt,hjpt,application_1527220447442_759653,boa_oidd_city_code_num,2018/6/6 5:12,1970/1/1 8:00,5111,282067,583268421,1243366,
root.hxxt_yx,hxxt_yx,application_1527220447442_771622,create table yuanyuqi3 as selec...'20180531'(Stage-1),2018/6/6 9:59,1970/1/1 8:00,5010,729752,1503780026,611125,
root.hxxt_yx,hxxt_yx,application_1527220447442_771508,create table yuanyuqi2 as select prov...'80'(Stage-1),2018/6/6 9:58,1970/1/1 8:00,4293,1066811,2197692808,369827,
root.hjpt,hjpt,application_1527220447442_770171,HIVE-d54f4480-2544-41e4-bd57-3c351e7b4baa,2018/6/6 9:32,1970/1/1 8:00,3818,1347533,2766091958,1346542,
root.hxxt_yx,hxxt_yx,application_1527220447442_784211,"create table yuanyuqi...r(bsid,-7),6),16,10)(Stage-1)",2018/6/6 15:11,1970/1/1 8:00,3014,93749,195035469,239917,
root.dw,dw_etl,application_1527220447442_755047,HIVE-b656b517-c2e5-426b-a717-c34fb2b2ca14,2018/6/6 3:02,1970/1/1 8:00,2501,5139130,10533059684,10886857,
root.hjtest.hjstandard,hjtest,application_1527220447442_754107,'DPI_RECOG_QUANGUO_D_20180605_844',2018/6/6 2:40,1970/1/1 8:00,2499,510155,1049430166,498853,
root.dw,dw_etl,application_1527220447442_755111,HIVE-850c3f40-fab2-4443-85be-05343e14df25,2018/6/6 3:03,1970/1/1 8:00,2498,3408190,6985666860,9333204,
root.sjyy_dm,daua,application_1527220447442_772381,'DPI_RULE_UNRECOG_20180605',2018/6/6 10:31,1970/1/1 8:00,2489,548280,1129371824,513240,
root.sjyy_dm,daua,application_1527220447442_746311,mid_user_trmnl_info_m_852_201805',2018/6/6 0:12,1970/1/1 8:00,2482,76508,159089910,313116,
root.sjyy_dm,daua,application_1527220447442_750905,mid_user_trmnl_info_m_863_201805',2018/6/6 1:23,1970/1/1 8:00,2449,157311,324842880,303143,
root.sjyy_dm,daua,application_1527220447442_747188,mid_user_trmnl_info_m_850_201805',2018/6/6 0:32,1970/1/1 8:00,2435,299908,617943186,337378,
root.hjpt,hjpt,application_1527220447442_770160,HIVE-530a6ddf-c573-4cec-8898-2051a36c41d7,2018/6/6 9:32,1970/1/1 8:00,2309,871254,1787611074,1353368,
root.hjdq,hjdq,application_1527220447442_760990,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_3a8482be-6907-11e8-8188-18c58a10ad18_33_20180604_0,2018/6/6 5:42,1970/1/1 8:00,2308,1998473,4100616606,2191657,
root.sjyy_dm,daua,application_1527220447442_751340,mid_user_trmnl_info_m_861_201805',2018/6/6 1:32,1970/1/1 8:00,2279,398804,819885716,329696,
root.hjpt,hjpt,application_1527220447442_780311,"select x.op_time,x.pro...x.op_time,x.prov_id(Stage-1)",2018/6/6 13:26,1970/1/1 8:00,2259,332894,685657318,227905,
root.hjdq,hjdq,application_1527220447442_748747,CHECK_TASK_bil01_BIL_DB.ITG_OTH_VDR_H_task_5aca19ee-68df-11e8-8f32-18c58a10ad18_35_20180513_0,2018/6/6 0:43,1970/1/1 8:00,2144,23127,49527149,866678,
root.hjdq,hjdq,application_1527220447442_749681,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_ff384ed2-68e0-11e8-9bd5-18c58a10ad18_35_20180523_0,2018/6/6 0:58,1970/1/1 8:00,2138,844162,1732119746,1489921,
root.hjpt,hjpt,application_1527220447442_753397,clean:anhui_itf_4gdpi_mbl_20180606_01 DPI,2018/6/6 4:12,1970/1/1 8:00,1975,515765,1587317726,371288,
root.hjpt,hjpt,application_1527220447442_768834,clean:chongqing_itf_4gdpi_mbl_20180606_03 Warn DPI,2018/6/6 9:21,1970/1/1 8:00,1956,151661,468869614,211156,
root.hjpt,hjpt,application_1527220447442_787348,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:29,1970/1/1 8:00,1915,395419,813043029,355063,
root.hjpt,hjpt,application_1527220447442_750138,roam:itf_4gdpi_mbl_sichuan_20180526_03-combine,2018/6/6 2:08,1970/1/1 8:00,1915,154104,317737023,293508,
root.hjpt,hjpt,application_1527220447442_775851,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 11:29,1970/1/1 8:00,1909,77266,160203444,305895,
root.hjpt,hjpt,application_1527220447442_768462,roam:itf_4gdpi_mbl_chongqing_20180606_02-roam,2018/6/6 9:14,1970/1/1 8:00,1908,114188,236026632,332350,
root.hjpt,hjpt,application_1527220447442_750712,clean:anhui_itf_4gdpi_mbl_20180606_00 DPI,2018/6/6 2:59,1970/1/1 8:00,1903,22451,71890997,239889,
root.hjdq,hjdq,application_1527220447442_760701,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_01b1d288-6908-11e8-8180-18c58a10ad18_35_20180604_0,2018/6/6 5:39,1970/1/1 8:00,1903,1450154,2974468072,1774342,
root.hjpt,hjpt,application_1527220447442_757600,clean:chongqing_itf_4gdpi_mbl_20180606_03 DPI,2018/6/6 5:37,1970/1/1 8:00,1891,64161,199999932,371592,
root.hjdq,hjdq,application_1527220447442_778761,CHECK_TASK_bil01_BIL_DB.ITG_FIX_CDR_H_task_2d1f1068-6942-11e8-8002-18c58a10ad18_33_20180604_0,2018/6/6 12:34,1970/1/1 8:00,1866,20550,44045377,596256,
root.sjyy_dm,daua,application_1527220447442_748248,mid_user_trmnl_info_m_846_201805',2018/6/6 0:41,1970/1/1 8:00,1853,356478,733934759,688008,
root.hjdq,hjdq,application_1527220447442_756447,CHECK_TASK_bil01_BIL_DB.ITG_OTH_CDR_H_task_9374112e-68f7-11e8-a348-18c58a10ad18_35_20180604_0,2018/6/6 3:43,1970/1/1 8:00,1847,78732,163423871,591994,
root.hjdq,hjdq,application_1527220447442_775541,CHECK_TASK_bil01_BIL_DB.ITG_OTH_CDR_H_task_18c63174-6937-11e8-bf27-18c58a10ad18_34_20180604_0,2018/6/6 11:18,1970/1/1 8:00,1837,116092,239630806,365696,
root.hjpt,hjpt,application_1527220447442_787273,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:31,1970/1/1 8:00,1831,187372,386368909,536434,
root.hjpt,hjpt,application_1527220447442_787404,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:32,1970/1/1 8:00,1827,154229,318523557,447212,
root.hjpt,hjpt,application_1527220447442_749398,roam:itf_4gdpi_mbl_sichuan_20180526_02-combine,2018/6/6 1:57,1970/1/1 8:00,1819,462370,949203690,375596,
root.hjdq,hjdq,application_1527220447442_781741,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_2c3eb994-694e-11e8-b8bc-18c58a10ad18_34_20180604_0,2018/6/6 13:58,1970/1/1 8:00,1760,448525,922332626,664876,
root.hjpt,hjpt,application_1527220447442_755537,clean:chongqing_itf_4gdpi_mbl_20180606_02 DPI,2018/6/6 4:44,1970/1/1 8:00,1758,120518,372941747,257524,
root.hjdq,hjdq,application_1527220447442_755983,CHECK_TASK_bil01_BIL_DB.ITG_OTH_CDR_H_task_f2827bac-68f6-11e8-b326-18c58a10ad18_33_20180604_0,2018/6/6 3:35,1970/1/1 8:00,1748,75161,155798587,494589,
root.hjpt,hjpt,application_1527220447442_781712,clean:guangdong_itf_4gdpi_mbl_20180606_09 Warn DPI,2018/6/6 14:12,1970/1/1 8:00,1705,35060,110134754,153584,
root.hjdq,hjdq,application_1527220447442_784868,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_2a7676c2-695a-11e8-a03d-18c58a10ad18_33_20180518_0,2018/6/6 15:29,1970/1/1 8:00,1703,358566,738085111,659020,
