queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.credit_ct,credit_ct,application_1528716129308_176988,"create table temp_com..._id ,day_id ,hour_id(Stage-1)",2018-06-13 17:34:37,1970-01-01 08:00:00,1992,506146,1049387544,349745,RUNNING
root.hjpt,hjpt,application_1528716129308_178043,clean:sichuan_itf_4gdpi_mbl_20180610_20 Warn DPI,2018-06-13 17:52:38,1970-01-01 08:00:00,1650,7178,24201187,169704,RUNNING
root.hjpt,hjpt,application_1528716129308_176824,clean:sichuan_itf_4gdpi_mbl_20180610_21 DPI,2018-06-13 17:46:27,1970-01-01 08:00:00,1501,401637,1235871719,540917,RUNNING
root.credit_ct,credit_ct,application_1528716129308_177092,"create table temp_com..._id
,day_id
,hour_id(Stage-1)",2018-06-13 17:39:58,1970-01-01 08:00:00,2001,616570,1274699998,1229724,RUNNING
root.hjpt,hjpt,application_1528716129308_176824,clean:sichuan_itf_4gdpi_mbl_20180610_21 DPI,2018-06-13 17:46:27,1970-01-01 08:00:00,1099,828110,2545707135,841257,RUNNING
root.hjpt,hjpt,application_1528716129308_179032,roam:itf_4gdpi_mbl_sichuan_20180613_11-combine,2018-06-13 18:02:59,1970-01-01 08:00:00,1291,42506,88437307,149294,RUNNING
root.hjpt,hjpt,application_1528716129308_179050,clean:sichuan_itf_4gdpi_mbl_20180613_15 Warn DPI,2018-06-13 18:01:42,1970-01-01 08:00:00,1193,106382,328936589,226125,RUNNING
root.hjpt,hjpt,application_1528716129308_178101,fix_dpi_sichuan_20180613_16,2018-06-13 17:57:55,1970-01-01 08:00:00,1022,272593,559550778,452713,RUNNING
root.credit_ct,credit_ct,application_1528716129308_177483,"create table temp_com..._id ,day_id ,hour_id(Stage-1)",2018-06-13 17:44:16,1970-01-01 08:00:00,1532,561830,1162601313,2172116,RUNNING
root.hjpt,hjpt,application_1528716129308_180270,roam:itf_4gdpi_mbl_sichuan_20180613_15-roam,2018-06-13 18:14:43,1970-01-01 08:00:00,1340,290072,595844704,345806,RUNNING
root.hjpt,hjpt,application_1528716129308_181132,roam:itf_4gdpi_mbl_sichuan_20180610_20-combine,2018-06-13 18:24:27,1970-01-01 08:00:00,1794,518725,1064937241,361769,RUNNING
root.hjpt,hjpt,application_1528716129308_181616,roam:itf_4gdpi_mbl_sichuan_20180613_14-combine,2018-06-13 18:31:02,1970-01-01 08:00:00,1780,132764,274118881,267447,RUNNING
root.sjyy_dm,daua,application_1528716129308_181772,MID_TOP7_TIME_ANALY_M_201805_862',2018-06-13 18:33:07,1970-01-01 08:00:00,1484,59241,122987636,141705,RUNNING
root.credit_ct,credit_ct,application_1528716129308_178739,"create table temp_com..._id ,day_id ,hour_id(Stage-1)",2018-06-13 18:01:41,1970-01-01 08:00:00,1227,531254,1106038027,2027908,RUNNING
root.credit_ct,credit_ct,application_1528716129308_181175,insert overwrite table tf_credit_corpora...c(Stage-1),2018-06-13 18:24:38,1970-01-01 08:00:00,1410,24890,52418652,950878,RUNNING
root.hjpt,hjpt,application_1528716129308_182772,roam:itf_4gdpi_mbl_sichuan_20180610_21-combine,2018-06-13 18:42:20,1970-01-01 08:00:00,1502,134198,276485711,189158,RUNNING
root.hjtest.hjstandard,hjtest,application_1528716129308_181410,'MID_MBL_DPI_USER_PRE_SUM_H_TMP_20180612',2018-06-13 18:28:33,1970-01-01 08:00:00,1009,490446,1282357771,1016679,RUNNING
root.credit_ct,credit_ct,application_1528716129308_181406,"create table temp_com..._id ,day_id ,hour_id(Stage-1)",2018-06-13 18:29:26,1970-01-01 08:00:00,1529,299442,619714091,1264001,RUNNING
root.credit_ct,credit_ct,application_1528716129308_181406,"create table temp_com..._id ,day_id ,hour_id(Stage-1)",2018-06-13 18:29:26,1970-01-01 08:00:00,1609,865833,1792400714,1564259,RUNNING
root.hjpt,hjpt,application_1528716129308_183139,fix_dpi_sichuan_20180613_17,2018-06-13 18:46:37,1970-01-01 08:00:00,1099,285067,585396154,533062,RUNNING
root.credit_ct,credit_ct,application_1528716129308_183961,insert overwrite table tf_credit_corpora...c(Stage-1),2018-06-13 18:54:37,1970-01-01 08:00:00,1062,199573,414139824,652770,RUNNING
root.hjtest.hjstandard,hjtest,application_1528716129308_183870,'MID_MBL_DPI_USER_SUM_H_D_20180611',2018-06-13 18:54:16,1970-01-01 08:00:00,1010,415751,1053333717,674285,RUNNING
root.credit_ct,credit_ct,application_1528716129308_186085,insert overwrite table tf_credit_corpora...c(Stage-1),2018-06-13 19:21:16,1970-01-01 08:00:00,1975,220045,453774329,254484,RUNNING
