queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus,peek_cpu,作业名称,作业描述,作业类型,sql,负责人,配合处室
root.credit_ct,credit_ct,application_1527220447442_719645,select count(1) from(select msisd...msisdn)t(Stage-1),2018/6/5 16:38,2018/6/5 16:52,1028,837002,1721861807,814777,FINISHED,2001,,,,,,应用处
root.hjtest.hjstandard,hjtest,application_1527220447442_698179,DPI_SER_1_851,2018/6/5 7:53,2018/6/5 8:25,1004,1936783,4059635877,1929017,FINISHED,3503,,,,,,平台处
root.hjpt,hjpt,application_1527220447442_698164,clean:chongqing_itf_4gdpi_mbl_20180605_02 Warn DPI,2018/6/5 8:06,2018/6/5 9:01,960,3162731,9723085910,3293285,FINISHED,3528,,,,,,平台处
root.credit_ct,credit_ct,application_1527220447442_711742,select count(1) from bil...day_id='20180601'(Stage-1),2018/6/5 13:04,2018/6/5 13:12,884,465400,959916426,526962,FINISHED,,,,,,,应用处
root.credit_ct,credit_ct,application_1527220447442_714649,select count(1) from bil...day_id='20180515'(Stage-1),2018/6/5 14:28,2018/6/5 14:37,869,473867,977301746,545765,FINISHED,2001,,,,,,应用处
root.credit_ct,credit_ct,application_1527220447442_719777,select count(1) from bil...day_id='20180511'(Stage-1),2018/6/5 16:39,2018/6/5 16:56,848,871756,1791599900,1028936,FINISHED,2001,,,,,,应用处
root.hjtest.hjstandard,hjtest,application_1527220447442_696166,DPI_SER_2_844,2018/6/5 7:15,2018/6/5 7:47,791,1537159,3257592906,1943324,FINISHED,1668,,,,,,平台处
root.hjtest.hjtest,hjtest,application_1527220447442_693772,'MID_FIX_DPI_USER_APP_SUM_M_201805',2018/6/5 6:18,2018/6/5 7:25,727,2917384,5980328510,4011313,FINISHED,2257,,,,,,平台处
root.credit_ct,credit_ct,application_1527220447442_716130,select count(1) from(select msisd...msisdn)t(Stage-1),2018/6/5 14:59,2018/6/5 15:12,718,541543,1116119262,754946,FINISHED,1702,,,,,,应用处
root.credit_ct,credit_ct,application_1527220447442_717600,select count(1) from bil...day_id='20180511'(Stage-1),2018/6/5 15:41,2018/6/5 15:54,718,537581,1107056617,748928,FINISHED,1980,,,,,,应用处
root.hjpt,hjpt,application_1527220447442_714331,select * from itf_eda_real_name_rule_m ...10(Stage-1),2018/6/5 14:09,2018/6/5 14:14,684,191610,394482148,280008,FINISHED,1410,,,,,,平台处
root.hjtest.hjtest,hjtest,application_1527220447442_698576,'MID_FIX_DPI_USER_SITE_SUM_M_201805',2018/6/5 8:03,2018/6/5 8:58,664,2175026,4457829112,3272982,FINISHED,2081,,,,,,平台处
