queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus,
root.hjdq,hjdq,application_1527220447442_760990,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_3a8482be-6907-11e8-8188-18c58a10ad18_33_20180604_0,2018/6/6 5:42,2018/6/6 6:22,1081,2598442,5329469073,2403446,FINISHED,2308
root.hxxt_yx,hxxt_yx,application_1527220447442_784211,"create table yuanyuqi...r(bsid,-7),6),16,10)(Stage-1)",2018/6/6 15:11,2018/6/6 15:17,1066,422153,869901439,396900,FINISHED,3014
root.hjpt,hjpt,application_1527220447442_787348,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:29,2018/6/6 16:38,925,486702,999939833,526489,FINISHED,1915
root.hjdq,hjdq,application_1527220447442_783960,CHECK_TASK_bil01_BIL_DB.ITG_OTH_MDR_H_task_20ba3136-6956-11e8-bda4-18c58a10ad18_34_20180518_0,2018/6/6 15:01,2018/6/6 15:19,922,954065,1955965727,1034612,FINISHED,1252
root.hjdq,hjdq,application_1527220447442_781741,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_2c3eb994-694e-11e8-b8bc-18c58a10ad18_34_20180604_0,2018/6/6 13:58,2018/6/6 14:14,881,844052,1732516138,957768,FINISHED,1760
root.hjpt,hjpt,application_1527220447442_787222,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:24,2018/6/6 16:30,782,284990,586970342,364449,FINISHED,
root.hjpt,hjpt,application_1527220447442_784530,select * from itg_4gdpi...op_time='20180606'(Stage-1),2018/6/6 15:20,2018/6/6 15:25,725,203972,419671617,281511,FINISHED,
root.hjpt,hjpt,application_1527220447442_780239,"select prov_id,count(1) from net_d...prov_id(Stage-1)",2018/6/6 13:23,2018/6/6 13:34,635,414605,854167010,652885,FINISHED,
root.hjpt,hjpt,application_1527220447442_787404,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:32,2018/6/6 16:41,552,301511,620416963,546106,FINISHED,1827
root.hjpt,hjpt,application_1527220447442_780311,"select x.op_time,x.pro...x.op_time,x.prov_id(Stage-1)",2018/6/6 13:26,2018/6/6 13:55,538,941781,1933905204,1750751,FINISHED,2259
root.hjpt,hjpt,application_1527220447442_783484,"select x.op_time,x.pro...x.op_time,x.prov_id(Stage-8)",2018/6/6 15:05,2018/6/6 15:20,526,478986,984440761,910894,FINISHED,1205
root.hjpt,hjpt,application_1527220447442_787268,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:32,2018/6/6 16:41,503,295948,609183112,588229,FINISHED,1627
root.hjpt,hjpt,application_1527220447442_787341,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:30,2018/6/6 16:41,502,344864,709419266,686836,FINISHED,1172
root.hjpt,hjpt,application_1527220447442_787273,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:31,2018/6/6 16:42,501,337070,693413714,672360,FINISHED,1831
root.sjyy_dm,daua,application_1527220447442_785514,'mid_cloudprod_mbldpi_score_m_201805_814',2018/6/6 15:39,2018/6/6 15:48,490,240997,495183610,491484,FINISHED,
root.hjtest.hjstandard,hjtest,application_1527220447442_778150,'MID_MBL_DPI_USER_PRE_SUM_H_20180605_03_850',2018/6/6 12:17,2018/6/6 12:29,467,338104,898596145,723701,FINISHED,1187
root.hjtest.hjstandard,hjtest,application_1527220447442_762930,'MID_MBL_DPI_USER_PRE_SUM_H_20180605_01_832',2018/6/6 6:36,2018/6/6 6:44,467,248681,624630894,532650,FINISHED,1019
root.hjpt,hjpt,application_1527220447442_787344,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:31,2018/6/6 16:41,456,289894,596805126,635613,FINISHED,
root.hjpt,hjpt,application_1527220447442_782067,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 14:20,2018/6/6 14:23,454,100903,209511419,222742,FINISHED,
root.hjpt,hjpt,application_1527220447442_787236,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:30,2018/6/6 16:41,451,303000,623531087,671382,FINISHED,1130
root.hjpt,hjpt,application_1527220447442_781786,"select x.op_time,x.pro...x.op_time,x.prov_id(Stage-5)",2018/6/6 14:17,2018/6/6 14:39,447,603073,1238499091,1347007,FINISHED,
root.hjdq,hjdq,application_1527220447442_784527,CHECK_TASK_bil01_BIL_DB.ITG_FIX_DDR_H_task_19075fca-6958-11e8-8269-18c58a10ad18_33_20180518_0,2018/6/6 15:17,2018/6/6 15:35,446,482659,989982602,1080371,FINISHED,
root.hjpt,hjpt,application_1527220447442_787225,select * from net_db.itg...mdn='13311512902'(Stage-1),2018/6/6 16:30,2018/6/6 16:41,441,301774,621039989,683535,FINISHED,1128
root.hjtest.hjstandard,hjtest,application_1527220447442_766378,'MID_MBL_DPI_USER_PRE_SUM_H_20180605_00_834',2018/6/6 7:58,2018/6/6 8:10,427,291923,768131051,683904,FINISHED,
