queue,user,id,name,started_time,finished_time,cpu_average,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.dpiq,dpiq,application_1527220447442_833978,TS-IndexLoader-2018060715@dpiq_db.dpi_22,2018-06-07 16:22:56,2018-06-07 16:28:14,632,201266,621104818,318900,FINISHED
root.dpiq,dpiq,application_1527220447442_833202,TS-IndexLoader-20180607002@dpiq_db.dpi_aggregation_951,2018-06-07 16:04:54,2018-06-07 16:10:27,631,210213,648359689,333367,FINISHED
root.dpiq,dpiq,application_1527220447442_829116,TS-IndexLoader-2018060713@dpiq_db.dpi_971,2018-06-07 14:44:37,2018-06-07 14:53:13,617,317881,937634601,515913,FINISHED
root.dpiq,dpiq,application_1527220447442_831771,TS-IndexLoader-2018060714@dpiq_db.dpi_371,2018-06-07 15:35:02,2018-06-07 15:45:03,566,340609,987109318,601170,FINISHED
root.dpiq,dpiq,application_1527220447442_831788,TS-IndexLoader-2018060714@dpiq_db.dpi_771,2018-06-07 15:35:09,2018-06-07 15:45:27,544,336124,980570681,617324,FINISHED
root.dpiq,dpiq,application_1527220447442_834447,TS-IndexLoader-20180607003@dpiq_db.dpi_aggregation_22,2018-06-07 16:35:47,2018-06-07 16:42:25,510,202594,624937146,397934,FINISHED
root.dpiq,dpiq,application_1527220447442_829306,TS-IndexLoader-2018060713@dpiq_db.dpi_571,2018-06-07 14:46:03,2018-06-07 14:55:37,505,290225,869500652,574604,FINISHED
root.dpiq,dpiq,application_1527220447442_834419,TS-IndexLoader-2018060715@dpiq_db.dpi_571,2018-06-07 16:33:57,2018-06-07 16:43:32,488,280407,864512818,574664,FINISHED
root.dpiq,dpiq,application_1527220447442_835648,TS-IndexLoader-2018060714@dpiq_db.dpi_551,2018-06-07 16:50:38,2018-06-07 16:58:50,486,239066,678501722,491893,FINISHED
root.dpiq,dpiq,application_1527220447442_834027,TS-IndexLoader-20180607002@dpiq_db.dpi_aggregation_791,2018-06-07 16:23:45,2018-06-07 16:29:03,473,150624,463951205,318570,FINISHED
root.dpiq,dpiq,application_1527220447442_829594,TS-IndexLoader-2018060713@dpiq_db.dpi_451,2018-06-07 14:50:45,2018-06-07 15:00:19,452,259275,765858944,573542,FINISHED
root.dpiq,dpiq,application_1527220447442_833201,TS-IndexLoader-2018060713@dpiq_db.dpi_791,2018-06-07 16:05:21,2018-06-07 16:13:28,439,213500,613673725,486647,FINISHED
root.dpiq,dpiq,application_1527220447442_834985,TS-IndexLoader-2018060715@dpiq_db.dpi_24,2018-06-07 16:42:43,2018-06-07 16:47:55,438,136823,422860872,312117,FINISHED
root.dpiq,dpiq,application_1527220447442_826593,TS-IndexLoader-2018060711@dpiq_db.dpi_931,2018-06-07 14:00:12,2018-06-07 14:10:16,435,262881,742111113,604521,FINISHED
root.dpiq,dpiq,application_1527220447442_826636,TS-IndexLoader-20180607002@dpiq_db.dpi_aggregation_21,2018-06-07 14:01:47,2018-06-07 14:09:57,423,207291,638556167,489524,FINISHED
root.dpiq,dpiq,application_1527220447442_835671,TS-IndexLoader-2018060716@dpiq_db.dpi_891,2018-06-07 16:51:24,2018-06-07 16:57:30,420,153467,473471480,365877,FINISHED
root.dpiq,dpiq,application_1527220447442_828537,TS-IndexLoader-20180607002@dpiq_db.dpi_aggregation_898,2018-06-07 14:37:30,2018-06-07 14:46:23,411,218950,675159767,532873,FINISHED
root.dpiq,dpiq,application_1527220447442_833717,TS-IndexLoader-20180607003@dpiq_db.dpi_aggregation_898,2018-06-07 16:17:05,2018-06-07 16:22:30,410,133517,412601360,325504,FINISHED
