queue,user,id,name,started_time,peek,cpu_seconds,memory_seconds,time_elapsed
root.credit_ct,credit_ct,application_1528978566586_248295,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 19:46,4001,865200,1780202461,545295
root.credit_ct,credit_ct,application_1528978566586_223590,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_811...a(Stage-1),2018/6/18 7:15,4001,1080313,2222891969,453135
root.credit_ct,credit_ct,application_1528978566586_250564,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 21:24,4001,735789,1517041645,349718
root.credit_ct,credit_ct,application_1528978566586_252316,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_813...a(Stage-1),2018/6/18 22:33,4001,711512,1464979913,425789
root.credit_ct,credit_ct,application_1528978566586_216858,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 3:37,4001,1646951,3386350301,619158
root.credit_ct,credit_ct,application_1528978566586_211151,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.rn=1(Stage-1),2018/6/18 0:25,4001,85631,179459905,156542
root.credit_ct,credit_ct,application_1528978566586_244203,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018/6/18 17:40,4001,208950,432050633,293720
root.credit_ct,credit_ct,application_1528978566586_249059,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 20:28,4000,974928,2008951353,459690
root.credit_ct,credit_ct,application_1528978566586_249670,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 20:41,3999,1184831,2436601580,528124
root.credit_ct,credit_ct,application_1528978566586_243388,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018/6/18 17:05,3994,1596646,3281728582,562205
root.credit_ct,credit_ct,application_1528978566586_251939,CREATE TABLE TEMP_CREDIT_CHEAT_DAY_8_815...a(Stage-1),2018/6/18 22:18,3981,781998,1610618902,427145
root.credit_ct,credit_ct,application_1528978566586_247201,"CREATE TABLE TEMP_CRE...
t.prov_id,
t.day_id(Stage-1)",2018/6/18 19:16,3931,435584,901264215,262134
root.credit_ct,credit_ct,application_1528978566586_245076,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018/6/18 18:04,3870,1291407,2657963466,935299
root.credit_ct,credit_ct,application_1528978566586_214506,CREATE TABLE TEMP_CREDIT_CHEAT_DAY...t2.RN=2(Stage-1),2018/6/18 1:51,3828,799047,1644809539,354485
root.hjdq,hjdq,application_1528978566586_242175,CHECK_TASK_province_CRM_DB.ITG_ORDER_ITEM_D_task_2ac06b1e-72ca-11e8-adc3-18c58a10ad18_77_20180613_0,2018/6/18 15:38,3814,1250049,2565449036,970684
