queue,user,id,name,started_time,finished_time,0,cpu_seconds,memory_seconds,time_elapsed,finalStatus
root.hxxt_yx,hxxt_yx,application_1529601806040_284939,HIVE-795dfff5-8227-4e75-8544-4ce1189797be,2018-06-27 14:26:38,1970-01-01 08:00:00,4004,1276050,2620257674,603081,RUNNING
root.credit_ct,credit_ct,application_1529601806040_284244,select count(1) from temp_cr...prov_id='811'(Stage-1),2018-06-27 14:06:44,1970-01-01 08:00:00,4001,12299665,25305832583,7203232,RUNNING
root.credit_ct,credit_ct,application_1529601806040_278801,select count(1) from temp_cr...prov_id='811'(Stage-1),2018-06-27 11:40:18,1970-01-01 08:00:00,4001,3140370,6475022515,1539597,RUNNING
root.credit_ct,credit_ct,application_1529601806040_264817,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 04:44:37,1970-01-01 08:00:00,4000,3446205,7105426077,1247219,RUNNING
root.credit_ct,credit_ct,application_1529601806040_268774,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 06:50:24,1970-01-01 08:00:00,3976,3848957,7940738781,3010895,RUNNING
root.credit_ct,credit_ct,application_1529601806040_265923,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 05:22:17,1970-01-01 08:00:00,3973,1995252,4115486088,789462,RUNNING
root.credit_ct,credit_ct,application_1529601806040_256302,--------------汇总、本月ap...1.accs_nbr=t2.msisdn(Stage-1),2018-06-26 23:49:06,1970-01-01 08:00:00,3800,16968065,34943646786,7563695,RUNNING
root.credit_ct,credit_ct,application_1529601806040_294356,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 18:19:36,1970-01-01 08:00:00,3797,2325590,4794174989,2543249,RUNNING
root.credit_ct,credit_ct,application_1529601806040_289146,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 16:34:04,1970-01-01 08:00:00,3520,1634210,3376634013,7072971,RUNNING
root.credit_ct,credit_ct,application_1529601806040_272525,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 09:05:44,1970-01-01 08:00:00,3290,1630232,3363269987,2099832,RUNNING
root.credit_ct,credit_ct,application_1529601806040_272531,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 09:02:45,1970-01-01 08:00:00,3007,2820693,5821277152,1077440,RUNNING
root.credit_ct,credit_ct,application_1529601806040_268775,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 06:50:19,1970-01-01 08:00:00,2486,1254861,2591978149,913823,RUNNING
root.credit_ct,credit_ct,application_1529601806040_285822,CREATE TABLE TEMP_CREDIT_C...t.tmp263201=0))(Stage-1),2018-06-27 14:55:03,1970-01-01 08:00:00,1794,2964395,6126000014,10010349,RUNNING
root.hxxt_yx,hxxt_yx,application_1529601806040_291635,HIVE-c3f4e696-7fca-4d59-b959-1892613e39f8,2018-06-27 17:18:25,1970-01-01 08:00:00,1776,269756,555381875,508027,RUNNING
root.hxxt_yx,hxxt_yx,application_1529601806040_284934,HIVE-29e59b88-da24-4b5a-a815-ae5e71d5dd45,2018-06-27 14:26:30,1970-01-01 08:00:00,1708,61180,127165900,300659,RUNNING
root.hjtest.hjstandard,hjtest,application_1529601806040_275385,'SUM_MBL_DPI_URL_D_20180624',2018-06-27 10:35:29,1970-01-01 08:00:00,1538,74068,153428203,320606,RUNNING
root.jt_jtsjzxsjyyc_sc_queue_0,jt_jtsjzxsjyyc_sc_tyzc_gd,application_1529601806040_280582,"select t.prov_id,t.month_id,count(*) f...300(Stage-1)",2018-06-27 12:20:12,1970-01-01 08:00:00,1529,343936,708015121,346760,RUNNING
