application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_36035,SUCCESS,2018/05/26 00:00:01,2018/05/26 00:00:24,2018/05/26 00:00:51,00:0:23,00:0:50
application_1527220447442_36040,SUCCESS,2018/05/26 00:00:03,2018/05/26 00:00:26,2018/05/26 00:01:32,00:0:23,00:1:29
application_1527220447442_36041,SUCCESS,2018/05/26 00:00:03,2018/05/26 00:00:25,2018/05/26 00:00:53,00:0:22,00:0:50
application_1527220447442_36046,SUCCESS,2018/05/26 00:00:13,2018/05/26 00:00:37,2018/05/26 00:01:02,00:0:24,00:0:49
application_1527220447442_36047,SUCCESS,2018/05/26 00:00:14,2018/05/26 00:00:36,2018/05/26 00:01:02,00:0:22,00:0:48
application_1527220447442_36049,SUCCESS,2018/05/26 00:00:18,2018/05/26 00:00:43,2018/05/26 00:01:48,00:0:25,00:1:30
application_1527220447442_36050,SUCCESS,2018/05/26 00:00:25,2018/05/26 00:01:25,2018/05/26 00:02:24,00:1:0,00:1:59
application_1527220447442_36052,SUCCESS,2018/05/26 00:00:37,2018/05/26 00:01:26,2018/05/26 00:02:12,00:0:49,00:1:35
application_1527220447442_36057,SUCCESS,2018/05/26 00:00:41,2018/05/26 00:01:25,2018/05/26 00:02:55,00:0:44,00:2:14
application_1527220447442_36073,SUCCESS,2018/05/26 00:01:42,2018/05/26 00:02:32,2018/05/26 00:02:57,00:0:50,00:1:15
application_1527220447442_36063,SUCCESS,2018/05/26 00:01:53,2018/05/26 00:02:24,2018/05/26 00:03:39,00:0:31,00:1:46
application_1527220447442_36075,SUCCESS,2018/05/26 00:02:00,2018/05/26 00:02:42,2018/05/26 00:03:08,00:0:42,00:1:8
application_1527220447442_36074,SUCCESS,2018/05/26 00:02:03,2018/05/26 00:03:25,2018/05/26 00:04:24,00:1:22,00:2:21
application_1527220447442_36092,SUCCESS,2018/05/26 00:02:41,2018/05/26 00:03:25,2018/05/26 00:04:26,00:0:44,00:1:45
application_1527220447442_36100,SUCCESS,2018/05/26 00:02:59,2018/05/26 00:03:48,2018/05/26 00:04:18,00:0:49,00:1:19
application_1527220447442_36123,SUCCESS,2018/05/26 00:04:00,2018/05/26 00:04:31,2018/05/26 00:04:59,00:0:31,00:0:59
application_1527220447442_36142,SUCCESS,2018/05/26 00:04:53,2018/05/26 00:05:18,2018/05/26 00:18:28,00:0:25,00:13:35
application_1527220447442_36445,SUCCESS,2018/05/26 00:19:14,2018/05/26 00:19:59,2018/05/26 00:37:35,00:0:45,00:18:21
application_1527220447442_37384,SUCCESS,2018/05/26 00:35:00,2018/05/26 00:35:58,2018/05/26 00:37:46,00:0:58,00:2:46
application_1527220447442_37415,SUCCESS,2018/05/26 00:37:44,2018/05/26 00:38:16,2018/05/26 00:39:50,00:0:32,00:2:6
application_1527220447442_37443,SUCCESS,2018/05/26 00:40:00,2018/05/26 00:40:39,2018/05/26 00:41:17,00:0:39,00:1:17
application_1527220447442_37519,SUCCESS,2018/05/26 00:41:32,2018/05/26 00:42:46,2018/05/26 00:43:25,00:1:14,00:1:53
application_1527220447442_37603,SUCCESS,2018/05/26 00:43:12,2018/05/26 00:44:49,2018/05/26 00:45:29,00:1:37,00:2:17
application_1527220447442_37628,SUCCESS,2018/05/26 00:45:52,2018/05/26 00:46:16,2018/05/26 00:46:41,00:0:24,00:0:49
application_1527220447442_37758,SUCCESS,2018/05/26 00:47:03,2018/05/26 00:48:17,2018/05/26 00:49:00,00:1:14,00:1:57
application_1527220447442_37792,SUCCESS,2018/05/26 00:48:49,2018/05/26 00:49:10,2018/05/26 00:50:28,00:0:21,00:1:39
application_1527220447442_37812,SUCCESS,2018/05/26 00:50:40,2018/05/26 00:51:15,2018/05/26 00:51:48,00:0:35,00:1:8
application_1527220447442_37857,SUCCESS,2018/05/26 00:51:55,2018/05/26 00:54:01,2018/05/26 00:54:21,00:2:6,00:2:26
application_1527220447442_37991,SUCCESS,2018/05/26 00:54:35,2018/05/26 00:55:42,2018/05/26 00:56:44,00:1:7,00:2:9
