application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1529601806040_163305,SUCCESS,2018/6/25 15:34,2018/6/25 15:38,2018/6/25 15:41,0:04:04,0:06:15,244,375
application_1529601806040_167776,SUCCESS,2018/6/25 17:08,2018/6/25 17:12,2018/6/25 17:13,0:04:04,0:05:31,244,331
application_1529601806040_167412,SUCCESS,2018/6/25 17:00,2018/6/25 17:04,2018/6/25 17:05,0:04:04,0:04:54,244,294
application_1529601806040_190902,SUCCESS,2018/6/25 22:27,2018/6/25 22:31,2018/6/25 22:32,0:04:04,0:05:17,244,317
application_1529601806040_190932,SUCCESS,2018/6/25 22:27,2018/6/25 22:31,2018/6/25 22:32,0:04:04,0:05:17,244,317
application_1529601806040_178532,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:34,0:04:04,0:06:46,244,406
application_1529601806040_185137,SUCCESS,2018/6/25 21:40,2018/6/25 21:44,2018/6/25 21:47,0:04:04,0:07:38,244,458
application_1529601806040_178399,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:04,0:04:41,244,281
application_1529601806040_165735,SUCCESS,2018/6/25 16:25,2018/6/25 16:29,2018/6/25 16:32,0:04:04,0:06:53,244,413
application_1529601806040_178536,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:34,0:04:04,0:06:44,244,404
application_1529601806040_172226,SUCCESS,2018/6/25 18:30,2018/6/25 18:34,2018/6/25 18:36,0:04:04,0:06:22,244,382
application_1529601806040_172552,SUCCESS,2018/6/25 18:34,2018/6/25 18:38,2018/6/25 18:39,0:04:04,0:05:15,244,315
application_1529601806040_169832,SUCCESS,2018/6/25 17:43,2018/6/25 17:47,2018/6/25 17:48,0:04:04,0:04:42,244,282
application_1529601806040_178373,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:04,0:05:14,244,314
application_1529601806040_182599,SUCCESS,2018/6/25 21:23,2018/6/25 21:27,2018/6/25 21:34,0:04:04,0:10:54,244,654
application_1529601806040_166745,SUCCESS,2018/6/25 16:47,2018/6/25 16:51,2018/6/25 16:53,0:04:04,0:05:42,244,342
application_1529601806040_140796,SUCCESS,2018/6/25 5:45,2018/6/25 5:49,2018/6/25 5:51,0:04:04,0:06:08,244,368
application_1529601806040_192684,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:04,0:06:03,244,363
application_1529601806040_178948,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:37,0:04:04,0:05:04,244,304
application_1529601806040_163301,SUCCESS,2018/6/25 15:35,2018/6/25 15:39,2018/6/25 15:40,0:04:04,0:05:14,244,314
application_1529601806040_168850,SUCCESS,2018/6/25 17:28,2018/6/25 17:32,2018/6/25 17:35,0:04:04,0:06:50,244,410
application_1529601806040_178552,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:35,0:04:04,0:07:49,244,469
application_1529601806040_180568,SUCCESS,2018/6/25 20:54,2018/6/25 20:59,2018/6/25 21:01,0:04:04,0:06:48,244,408
application_1529601806040_183780,SUCCESS,2018/6/25 21:31,2018/6/25 21:35,2018/6/25 21:40,0:04:04,0:09:17,244,557
application_1529601806040_172402,SUCCESS,2018/6/25 18:30,2018/6/25 18:34,2018/6/25 18:35,0:04:04,0:04:39,244,279
application_1529601806040_192687,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:04,0:05:29,244,329
application_1529601806040_176534,SUCCESS,2018/6/25 19:53,2018/6/25 19:57,2018/6/25 19:59,0:04:04,0:06:26,244,386
application_1529601806040_178947,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:37,0:04:04,0:05:04,244,304
application_1529601806040_178537,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:36,0:04:04,0:08:43,244,523
application_1529601806040_167921,SUCCESS,2018/6/25 17:10,2018/6/25 17:14,2018/6/25 17:17,0:04:04,0:06:57,244,417
application_1529601806040_197574,SUCCESS,2018/6/25 23:53,2018/6/25 23:57,2018/6/25 23:58,0:04:04,0:04:46,244,286
application_1529601806040_178551,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:36,0:04:04,0:08:40,244,520
application_1529601806040_167908,SUCCESS,2018/6/25 17:10,2018/6/25 17:14,2018/6/25 17:17,0:04:04,0:06:53,244,413
application_1529601806040_167892,SUCCESS,2018/6/25 17:10,2018/6/25 17:14,2018/6/25 17:16,0:04:04,0:05:21,244,321
application_1529601806040_192706,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:04,0:06:02,244,362
application_1529601806040_172326,SUCCESS,2018/6/25 18:30,2018/6/25 18:34,2018/6/25 18:34,0:04:04,0:04:35,244,275
application_1529601806040_183800,SUCCESS,2018/6/25 21:30,2018/6/25 21:35,2018/6/25 21:37,0:04:04,0:06:38,244,398
application_1529601806040_183803,SUCCESS,2018/6/25 21:30,2018/6/25 21:35,2018/6/25 21:35,0:04:04,0:04:47,244,287
application_1529601806040_180602,SUCCESS,2018/6/25 20:54,2018/6/25 20:59,2018/6/25 20:59,0:04:04,0:04:31,244,271
application_1529601806040_192584,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:04,0:06:04,244,364
application_1529601806040_176955,SUCCESS,2018/6/25 20:04,2018/6/25 20:08,2018/6/25 20:09,0:04:04,0:05:14,244,314
application_1529601806040_182499,SUCCESS,2018/6/25 21:19,2018/6/25 21:23,2018/6/25 21:24,0:04:04,0:04:45,244,285
application_1529601806040_183793,SUCCESS,2018/6/25 21:30,2018/6/25 21:35,2018/6/25 21:36,0:04:04,0:05:37,244,337
application_1529601806040_182940,SUCCESS,2018/6/25 21:24,2018/6/25 21:28,2018/6/25 21:29,0:04:04,0:04:56,244,296
application_1529601806040_172379,SUCCESS,2018/6/25 18:30,2018/6/25 18:34,2018/6/25 18:34,0:04:04,0:04:35,244,275
application_1529601806040_177576,SUCCESS,2018/6/25 20:16,2018/6/25 20:20,2018/6/25 20:21,0:04:04,0:05:26,244,326
application_1529601806040_176525,SUCCESS,2018/6/25 19:53,2018/6/25 19:57,2018/6/25 19:58,0:04:04,0:04:41,244,281
application_1529601806040_165521,SUCCESS,2018/6/25 16:19,2018/6/25 16:23,2018/6/25 16:24,0:04:04,0:04:55,244,295
application_1529601806040_169008,SUCCESS,2018/6/25 17:32,2018/6/25 17:36,2018/6/25 17:37,0:04:04,0:04:53,244,293
