application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_42111,SUCCESS,2018/05/26 02:06:08,2018/05/26 03:12:28,2018/05/26 03:55:22,01:6:20,01:49:14,3980,6554
application_1527220447442_42644,SUCCESS,2018/05/26 02:22:19,2018/05/26 03:54:01,2018/05/26 04:09:00,01:31:42,01:46:41,5502,6401
application_1527220447442_42532,SUCCESS,2018/05/26 02:22:20,2018/05/26 03:54:00,2018/05/26 04:09:00,01:31:40,01:46:40,5500,6400
application_1527220447442_44133,SUCCESS,2018/05/26 03:05:29,2018/05/26 04:09:15,2018/05/26 04:50:32,01:3:46,01:45:3,3826,6303
application_1527220447442_42113,SUCCESS,2018/05/26 02:06:23,2018/05/26 03:12:28,2018/05/26 03:50:23,01:6:5,01:44:0,3965,6240
application_1527220447442_42962,SUCCESS,2018/05/26 02:29:54,2018/05/26 03:53:47,2018/05/26 04:13:39,01:23:53,01:43:45,5033,6225
application_1527220447442_42151,SUCCESS,2018/05/26 02:12:49,2018/05/26 03:12:29,2018/05/26 03:55:45,00:59:40,01:42:56,3580,6176
application_1527220447442_42458,SUCCESS,2018/05/26 02:22:08,2018/05/26 03:54:02,2018/05/26 04:04:18,01:31:54,01:42:10,5514,6130
application_1527220447442_43014,SUCCESS,2018/05/26 02:31:39,2018/05/26 03:53:52,2018/05/26 04:13:42,01:22:13,01:42:3,4933,6123
application_1527220447442_43021,SUCCESS,2018/05/26 02:32:23,2018/05/26 03:53:52,2018/05/26 04:13:32,01:21:29,01:41:9,4889,6069
application_1527220447442_43019,SUCCESS,2018/05/26 02:32:23,2018/05/26 03:53:52,2018/05/26 04:13:32,01:21:29,01:41:9,4889,6069
application_1527220447442_42924,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 04:09:28,01:25:10,01:40:51,5110,6051
application_1527220447442_42867,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:28,01:40:20,2848,6020
application_1527220447442_42862,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:52,2018/05/26 04:05:45,00:47:26,01:40:19,2846,6019
application_1527220447442_42863,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:27,01:40:19,2847,6019
application_1527220447442_42856,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:27,01:40:19,2847,6019
application_1527220447442_42846,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:26,01:40:18,2846,6018
application_1527220447442_42858,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:52,2018/05/26 04:05:45,00:47:25,01:40:18,2845,6018
application_1527220447442_42855,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:53,2018/05/26 04:05:45,00:47:26,01:40:18,2846,6018
application_1527220447442_42859,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:45,00:47:27,01:40:18,2847,6018
application_1527220447442_42868,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:50,2018/05/26 04:05:42,00:47:25,01:40:17,2845,6017
application_1527220447442_42934,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 04:08:47,01:25:10,01:40:10,5110,6010
application_1527220447442_42869,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:28,01:39:44,2848,5984
application_1527220447442_42852,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:28,01:39:44,2848,5984
application_1527220447442_42870,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:28,01:39:44,2848,5984
application_1527220447442_42851,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:27,01:39:43,2847,5983
application_1527220447442_42853,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:09,00:47:28,01:39:43,2848,5983
application_1527220447442_42850,SUCCESS,2018/05/26 02:25:26,2018/05/26 03:12:54,2018/05/26 04:05:09,00:47:28,01:39:43,2848,5983
application_1527220447442_42857,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:27,01:39:43,2847,5983
application_1527220447442_42865,SUCCESS,2018/05/26 02:25:27,2018/05/26 03:12:54,2018/05/26 04:05:10,00:47:27,01:39:43,2847,5983
application_1527220447442_42951,SUCCESS,2018/05/26 02:29:22,2018/05/26 03:53:47,2018/05/26 04:08:35,01:24:25,01:39:13,5065,5953
application_1527220447442_42115,SUCCESS,2018/05/26 02:06:27,2018/05/26 03:12:28,2018/05/26 03:45:39,01:6:1,01:39:12,3961,5952
application_1527220447442_42953,SUCCESS,2018/05/26 02:29:47,2018/05/26 03:53:47,2018/05/26 04:08:30,01:24:0,01:38:43,5040,5923
application_1527220447442_42960,SUCCESS,2018/05/26 02:29:52,2018/05/26 03:53:47,2018/05/26 04:08:30,01:23:55,01:38:38,5035,5918
application_1527220447442_42095,SUCCESS,2018/05/26 02:01:51,2018/05/26 03:12:28,2018/05/26 03:40:28,01:10:37,01:38:37,4237,5917
application_1527220447442_42198,SUCCESS,2018/05/26 02:17:49,2018/05/26 03:12:29,2018/05/26 03:55:45,00:54:40,01:37:56,3280,5876
application_1527220447442_42199,SUCCESS,2018/05/26 02:17:55,2018/05/26 03:12:28,2018/05/26 03:55:45,00:54:33,01:37:50,3273,5870
application_1527220447442_42200,SUCCESS,2018/05/26 02:17:57,2018/05/26 03:12:29,2018/05/26 03:55:45,00:54:32,01:37:48,3272,5868
application_1527220447442_42203,SUCCESS,2018/05/26 02:18:10,2018/05/26 03:12:29,2018/05/26 03:55:57,00:54:19,01:37:47,3259,5867
application_1527220447442_42201,SUCCESS,2018/05/26 02:18:06,2018/05/26 03:12:29,2018/05/26 03:55:45,00:54:23,01:37:39,3263,5859
application_1527220447442_42202,SUCCESS,2018/05/26 02:18:06,2018/05/26 03:12:29,2018/05/26 03:55:45,00:54:23,01:37:39,3263,5859
application_1527220447442_42206,SUCCESS,2018/05/26 02:18:26,2018/05/26 03:12:29,2018/05/26 03:55:45,00:54:3,01:37:19,3243,5839
application_1527220447442_42204,SUCCESS,2018/05/26 02:18:35,2018/05/26 03:12:29,2018/05/26 03:55:45,00:53:54,01:37:10,3234,5830
application_1527220447442_42207,SUCCESS,2018/05/26 02:18:47,2018/05/26 03:12:47,2018/05/26 03:55:57,00:54:0,01:37:10,3240,5830
application_1527220447442_42205,SUCCESS,2018/05/26 02:18:49,2018/05/26 03:12:29,2018/05/26 03:55:57,00:53:40,01:37:8,3220,5828
application_1527220447442_42102,SUCCESS,2018/05/26 02:03:37,2018/05/26 03:12:28,2018/05/26 03:40:40,01:8:51,01:37:3,4131,5823
application_1527220447442_42210,SUCCESS,2018/05/26 02:19:16,2018/05/26 03:12:29,2018/05/26 03:55:57,00:53:13,01:36:41,3193,5801
application_1527220447442_42209,SUCCESS,2018/05/26 02:19:16,2018/05/26 03:12:29,2018/05/26 03:55:57,00:53:13,01:36:41,3193,5801
application_1527220447442_42446,SUCCESS,2018/05/26 02:22:08,2018/05/26 03:54:02,2018/05/26 03:58:45,01:31:54,01:36:37,5514,5797
application_1527220447442_42216,SUCCESS,2018/05/26 02:19:48,2018/05/26 03:12:29,2018/05/26 03:55:57,00:52:41,01:36:9,3161,5769
application_1527220447442_42833,SUCCESS,2018/05/26 02:24:52,2018/05/26 03:12:53,2018/05/26 04:00:44,00:48:1,01:35:52,2881,5752
application_1527220447442_42832,SUCCESS,2018/05/26 02:24:52,2018/05/26 03:12:53,2018/05/26 04:00:44,00:48:1,01:35:52,2881,5752
application_1527220447442_42831,SUCCESS,2018/05/26 02:24:53,2018/05/26 03:12:54,2018/05/26 04:00:44,00:48:1,01:35:51,2881,5751
