pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
admin_stats,FRONTEND,,,2,4,10240,651,611499,127171731,0,0,20,,,,,OPEN,,,,,,,,,10,2,0,,,,0,0,0,4,,,,0,628,0,20,629,0,,1,3,1278,,,0,0,0,0,,,,,,,,
admin_stats,BACKEND,0,0,0,1,1024,629,611499,127171731,0,0,,629,0,0,0,UP,0,0,0,,0,6981,0,,10,2,0,,0,,1,0,,2,,,,0,0,0,0,629,0,,,,,0,0,0,0,0,0,0,,,0,0,0,255,
svc31002,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,3,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest1--ingresstest1,server127.0.0.1,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,4,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest1--ingresstest1,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31101,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,5,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest100--ingresstest100,server172.11.3.46,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,6,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest100--ingresstest100,server172.11.43.31,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,6,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest100--ingresstest100,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,6,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31003,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,7,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest2--ingresstest2,server172.11.3.5,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,8,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest2--ingresstest2,server172.11.76.31,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,8,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest2--ingresstest2,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,8,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31004,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,9,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest3--ingresstest3,server172.11.21.18,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,10,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest3--ingresstest3,server172.11.43.50,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,10,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest3--ingresstest3,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,10,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31005,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,11,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest4--ingresstest4,server172.11.3.6,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,12,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest4--ingresstest4,server172.11.43.4,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,12,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest4--ingresstest4,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,12,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31006,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,13,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest5--ingresstest5,server172.11.21.9,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,14,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest5--ingresstest5,server172.11.3.7,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,14,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest5--ingresstest5,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,14,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31007,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,15,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest6--ingresstest6,server172.11.21.51,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,16,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest6--ingresstest6,server172.11.76.26,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,16,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest6--ingresstest6,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,16,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31008,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,17,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest7--ingresstest7,server172.11.21.26,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,18,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest7--ingresstest7,server172.11.76.21,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,18,2,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
ingresstest-ingresstest7--ingresstest7,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,2,2,0,,0,6981,0,,10,18,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc31009,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,19,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
ingresstest-ingresstest8--ingresstest8,server172.11.43.21,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,20,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
