queue,user,id,name,started_time,finished_time,time_elapsed
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_829944,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 13:38:19,2018-07-09 14:06:30,1691
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_837488,"SELECT '861' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 15:39:58,2018-07-09 16:03:26,1407
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_828528,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 13:13:11,2018-07-09 13:31:40,1109
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_835261,"SELECT '851' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 14:59:53,2018-07-09 15:17:16,1042
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_832205,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 14:11:15,2018-07-09 14:28:10,1015
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_828786,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 13:21:19,2018-07-09 13:37:25,965
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836851,"SELECT '831' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 15:29:12,2018-07-09 15:45:01,949
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_837764,"SELECT '832' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 15:43:01,2018-07-09 15:58:42,940
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836364,"SELECT '844' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 15:18:33,2018-07-09 15:33:08,874
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_837038,"SELECT '850' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 15:32:58,2018-07-09 15:47:30,871
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_829839,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 13:36:11,2018-07-09 13:50:07,836
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831877,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 14:03:14,2018-07-09 14:16:58,824
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_832386,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 14:17:14,2018-07-09 14:30:45,810
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_834019,com.ailk.cloudetl.el.common.ftp.mr.FTPMapRedExtractImpl,2018-07-09 14:39:29,2018-07-09 14:51:19,709
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_830858,TF_CREDIT_CORPORATE_INFORMATION_SCORE_MONTH_LD.jar,2018-07-09 13:51:15,2018-07-09 14:02:36,681
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_838645,"SELECT '833' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 15:57:43,2018-07-09 16:09:03,679
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_834857,"SELECT '811' AREA_CD,
       '201806' C...T1(Stage-1)",2018-07-09 14:53:54,2018-07-09 15:04:56,661
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_833562,"SELECT '850' AREA_CD,
       '201806' CY...T(Stage-1)",2018-07-09 14:33:55,2018-07-09 14:43:44,588
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_834303,"SELECT '811' AREA_CD,
       '201806' CY...T(Stage-1)",2018-07-09 14:44:06,2018-07-09 14:53:48,582
